Data,Gasolina,Etanol,IPCA,Salario Minimo,PIB,Dolar - abertura,Taxa desemprego,ESTOQUE(produto A),VENDAS(produto A (mil litros)),ESTOQUE(produto B),VENDAS(produto B (mil litros))
2016-01,"3,68","2,72","1,27",880,"490.284,00","3,9608","6,90%","0,51","0,4334991809","0,56","0,4663671448"
2016-02,"3,71","2,81","0,9",880,"491.011,70","3,9992","7,60%","0,52","0,4467224609","0,6","0,4455211934"
2016-03,"3,73","2,87","0,43",880,"516.985,90","4,0172","8,20%","0,53","0,4599402944","0,56","0,4180806984"
2016-04,"3,72","2,74","0,61",880,"508.058,70","3,591","10,90%","0,54","0,4710487563","0,55","0,4244282459"
2016-05,"3,67","2,48","0,78",880,"513.267,50","3,4364","11,20%","0,55","0,4936994382","0,52","0,5136221811"
2016-06,"3,65","2,47","0,35",880,"536.459,30","3,6095","11,20%","0,57","0,5400902034","0,52","0,5665628598"
2016-07,"3,64","2,43","0,52",880,"532.947,80","3,2137","11,30%","0,59","0,5838446765","0,63","0,5284525763"
2016-08,"3,65","2,49","0,44",880,"534.761,80","3,2496","11,60%","0,65","0,5643731675","0,65","0,5253389249"
2016-09,"3,65","2,51","0,08",880,"509.975,00","3,2262","11,80%","0,68","0,5321924624","0,65","0,4859866634"
2016-10,"3,66","2,68","0,26",880,"525.162,70","3,2631","11,80%","0,68","0,5097197395","0,65","0,4781529607"
2016-11,"3,67","2,81","0,18",880,"541.530,70","3,1891","11,80%","0,64","0,501234018","0,60","0,4664714271"
2016-12,"3,73","2,83","0,3",880,"565.780,50","3,3854","11,90%","0,61","0,4920665071","0,59","0,455382191"
2017-01,"3,77","2,91","0,38",937,"526.564,70","3,2547","12,00%","0,60","0,4886192171","0,57","0,4567924834"
2017-02,"3,76","2,88","0,33",937,"514.120,50","3,1515","12,60%","0,59","0,4964230845","0,56","0,4738147467"
2017-03,"3,69","2,75","0,25",937,"544.312,90","3,1095","13,20%","0,59","0,5098326078","0,56","0,55771071"
2017-04,"3,64","2,64","0,14",937,"525.238,10","3,1233","13,70%","0,60","0,5175984189","0,58","0,5527722688"
2017-05,"3,62","2,58","0,31",937,"548.887,70","3,1748","13,60%","0,61","0,5195569591","0,68","0,4835899463"
2017-06,"3,55","2,49","-0,23",937,"556.787,60","3,2266","13,30%","0,62","0,5215740935","0,68","0,5267313063"
2017-07,"3,55","2,46","0,24",937,"557.458,20","3,319","13,00%","0,62","0,5158262034","0,65","0,4753579279"
2017-08,"3,78","2,61","0,19",937,"555.578,70","3,127","12,80%","0,62","0,4910671619","0,59","0,5311452389"
2017-09,"3,88","2,63","0,16",937,"528.871,20","3,1472","12,60%","0,62","0,4684854438","0,65","0,4777186521"
2017-10,"3,90","2,67","0,42",937,"549.304,70","3,1641","12,40%","0,59","0,4581069059","0,59","0,4879274411"
2017-11,"4,00","2,79","0,28",937,"566.209,30","3,2727","12,20%","0,56","0,462104678","0,60","0,5005496182"
